Blocks 32 2
Block = 2 ; Thread = 12 First For i = 31
Block = 2 ; Thread = 13 First For i = 31
Block = 2 ; Thread = 23 First For i = 31
Block = 2 ; Thread = 14 First For i = 31
Block = 2 ; Thread = 15 First For i = 31
Block = 2 ; Thread = 24 First For i = 31
Block = 2 ; Thread = 16 First For i = 31
Block = 2 ; Thread = 25 First For i = 31
Block = 2 ; Thread = 26 First For i = 31
Block = 2 ; Thread = 27 First For i = 31
Block = 2 ; Thread = 28 First For i = 31
Block = 2 ; Thread = 29 First For i = 31
Block = 2 ; Thread = 30 First For i = 31
Block = 2 ; Thread = 31 First For i = 31
Block = 2 ; Thread = 32 First For i = 31
Block = 1 ; Thread = 1 First For i = 32
Block = 1 ; Thread = 17 First For i = 32
Block = 1 ; Thread = 2 First For i = 32
Block = 1 ; Thread = 3 First For i = 32
Block = 1 ; Thread = 18 First For i = 32
Block = 1 ; Thread = 4 First For i = 32
Block = 1 ; Thread = 5 First For i = 32
Block = 1 ; Thread = 19 First For i = 32
Block = 1 ; Thread = 6 First For i = 32
Block = 1 ; Thread = 7 First For i = 32
Block = 1 ; Thread = 20 First For i = 32
Block = 1 ; Thread = 8 First For i = 32
Block = 1 ; Thread = 9 First For i = 32
Block = 1 ; Thread = 21 First For i = 32
Block = 1 ; Thread = 10 First For i = 32
Block = 1 ; Thread = 11 First For i = 32
Block = 1 ; Thread = 22 First For i = 32
Block = 1 ; Thread = 12 First For i = 32
Block = 1 ; Thread = 13 First For i = 32
Block = 1 ; Thread = 23 First For i = 32
Block = 1 ; Thread = 14 First For i = 32
Block = 1 ; Thread = 15 First For i = 32
Block = 1 ; Thread = 24 First For i = 32
Block = 1 ; Thread = 16 First For i = 32
Block = 1 ; Thread = 25 First For i = 32
Block = 1 ; Thread = 26 First For i = 32
Block = 1 ; Thread = 27 First For i = 32
Block = 1 ; Thread = 28 First For i = 32
Block = 1 ; Thread = 29 First For i = 32
Block = 1 ; Thread = 30 First For i = 32
Block = 1 ; Thread = 31 First For i = 32
Block = 1 ; Thread = 32 First For i = 32
Block = 2 ; Thread = 1 First For i = 32
Block = 2 ; Thread = 17 First For i = 32
Block = 2 ; Thread = 2 First For i = 32
Block = 2 ; Thread = 3 First For i = 32
Block = 2 ; Thread = 18 First For i = 32
Block = 2 ; Thread = 4 First For i = 32
Block = 2 ; Thread = 5 First For i = 32
Block = 2 ; Thread = 19 First For i = 32
Block = 2 ; Thread = 6 First For i = 32
Block = 2 ; Thread = 7 First For i = 32
Block = 2 ; Thread = 20 First For i = 32
Block = 2 ; Thread = 8 First For i = 32
Block = 2 ; Thread = 9 First For i = 32
Block = 2 ; Thread = 21 First For i = 32
Block = 2 ; Thread = 10 First For i = 32
Block = 2 ; Thread = 11 First For i = 32
Block = 2 ; Thread = 22 First For i = 32
Block = 2 ; Thread = 12 First For i = 32
Block = 2 ; Thread = 13 First For i = 32
Block = 2 ; Thread = 23 First For i = 32
Block = 2 ; Thread = 14 First For i = 32
Block = 2 ; Thread = 15 First For i = 32
Block = 2 ; Thread = 24 First For i = 32
Block = 2 ; Thread = 16 First For i = 32
Block = 2 ; Thread = 25 First For i = 32
Block = 2 ; Thread = 26 First For i = 32
Block = 2 ; Thread = 27 First For i = 32
Block = 2 ; Thread = 28 First For i = 32
Block = 2 ; Thread = 29 First For i = 32
Block = 2 ; Thread = 30 First For i = 32
Block = 2 ; Thread = 31 First For i = 32
Block = 2 ; Thread = 32 First For i = 32
Block = 1 ; Thread = 1 First For i = 33
Block = 1 ; Thread = 17 First For i = 33
Block = 1 ; Thread = 2 First For i = 33
Block = 1 ; Thread = 3 First For i = 33
Block = 1 ; Thread = 18 First For i = 33
Block = 1 ; Thread = 4 First For i = 33
Block = 1 ; Thread = 5 First For i = 33
Block = 1 ; Thread = 19 First For i = 33
Block = 1 ; Thread = 6 First For i = 33
Block = 1 ; Thread = 7 First For i = 33
Block = 1 ; Thread = 20 First For i = 33
Block = 1 ; Thread = 8 First For i = 33
Block = 1 ; Thread = 9 First For i = 33
Block = 1 ; Thread = 21 First For i = 33
Block = 1 ; Thread = 10 First For i = 33
Block = 1 ; Thread = 11 First For i = 33
Block = 1 ; Thread = 22 First For i = 33
Block = 1 ; Thread = 12 First For i = 33
Block = 1 ; Thread = 13 First For i = 33
Block = 1 ; Thread = 23 First For i = 33
Block = 1 ; Thread = 14 First For i = 33
Block = 1 ; Thread = 15 First For i = 33
Block = 1 ; Thread = 24 First For i = 33
Block = 1 ; Thread = 16 First For i = 33
Block = 1 ; Thread = 25 First For i = 33
Block = 1 ; Thread = 26 First For i = 33
Block = 1 ; Thread = 27 First For i = 33
Block = 1 ; Thread = 28 First For i = 33
Block = 1 ; Thread = 29 First For i = 33
Block = 1 ; Thread = 30 First For i = 33
Block = 1 ; Thread = 31 First For i = 33
Block = 1 ; Thread = 32 First For i = 33
Block = 2 ; Thread = 1 First For i = 33
Block = 2 ; Thread = 17 First For i = 33
Block = 2 ; Thread = 2 First For i = 33
Block = 2 ; Thread = 3 First For i = 33
Block = 2 ; Thread = 18 First For i = 33
Block = 2 ; Thread = 4 First For i = 33
Block = 2 ; Thread = 5 First For i = 33
Block = 2 ; Thread = 19 First For i = 33
Block = 2 ; Thread = 6 First For i = 33
Block = 2 ; Thread = 7 First For i = 33
Block = 2 ; Thread = 20 First For i = 33
Block = 2 ; Thread = 8 First For i = 33
Block = 2 ; Thread = 9 First For i = 33
Block = 2 ; Thread = 21 First For i = 33
Block = 2 ; Thread = 10 First For i = 33
Block = 2 ; Thread = 11 First For i = 33
Block = 2 ; Thread = 22 First For i = 33
Block = 2 ; Thread = 12 First For i = 33
Block = 2 ; Thread = 13 First For i = 33
Block = 2 ; Thread = 23 First For i = 33
Block = 2 ; Thread = 14 First For i = 33
Block = 2 ; Thread = 15 First For i = 33
Block = 2 ; Thread = 24 First For i = 33
Block = 2 ; Thread = 16 First For i = 33
Block = 2 ; Thread = 25 First For i = 33
Block = 2 ; Thread = 26 First For i = 33
Block = 2 ; Thread = 27 First For i = 33
Block = 2 ; Thread = 28 First For i = 33
Block = 2 ; Thread = 29 First For i = 33
Block = 2 ; Thread = 30 First For i = 33
Block = 2 ; Thread = 31 First For i = 33
Block = 2 ; Thread = 32 First For i = 33
Block = 1 ; Thread = 1 First For i = 34
Block = 1 ; Thread = 17 First For i = 34
Block = 1 ; Thread = 2 First For i = 34
Block = 1 ; Thread = 3 First For i = 34
Block = 1 ; Thread = 18 First For i = 34
Block = 1 ; Thread = 4 First For i = 34
Block = 1 ; Thread = 5 First For i = 34
Block = 1 ; Thread = 19 First For i = 34
Block = 1 ; Thread = 6 First For i = 34
Block = 1 ; Thread = 7 First For i = 34
Block = 1 ; Thread = 20 First For i = 34
Block = 1 ; Thread = 8 First For i = 34
Block = 1 ; Thread = 9 First For i = 34
Block = 1 ; Thread = 21 First For i = 34
Block = 1 ; Thread = 10 First For i = 34
Block = 1 ; Thread = 11 First For i = 34
Block = 1 ; Thread = 22 First For i = 34
Block = 1 ; Thread = 12 First For i = 34
Block = 1 ; Thread = 13 First For i = 34
Block = 1 ; Thread = 23 First For i = 34
Block = 1 ; Thread = 14 First For i = 34
Block = 1 ; Thread = 15 First For i = 34
Block = 1 ; Thread = 24 First For i = 34
Block = 1 ; Thread = 16 First For i = 34
Block = 1 ; Thread = 25 First For i = 34
Block = 1 ; Thread = 26 First For i = 34
Block = 1 ; Thread = 27 First For i = 34
Block = 1 ; Thread = 28 First For i = 34
Block = 1 ; Thread = 29 First For i = 34
Block = 1 ; Thread = 30 First For i = 34
Block = 1 ; Thread = 31 First For i = 34
Block = 1 ; Thread = 32 First For i = 34
Block = 2 ; Thread = 1 First For i = 34
Block = 2 ; Thread = 17 First For i = 34
Block = 2 ; Thread = 2 First For i = 34
Block = 2 ; Thread = 3 First For i = 34
Block = 2 ; Thread = 18 First For i = 34
Block = 2 ; Thread = 4 First For i = 34
Block = 2 ; Thread = 5 First For i = 34
Block = 2 ; Thread = 19 First For i = 34
Block = 2 ; Thread = 6 First For i = 34
Block = 2 ; Thread = 7 First For i = 34
Block = 2 ; Thread = 20 First For i = 34
Block = 2 ; Thread = 8 First For i = 34
Block = 2 ; Thread = 9 First For i = 34
Block = 2 ; Thread = 21 First For i = 34
Block = 2 ; Thread = 10 First For i = 34
Block = 2 ; Thread = 11 First For i = 34
Block = 2 ; Thread = 22 First For i = 34
Block = 2 ; Thread = 12 First For i = 34
Block = 2 ; Thread = 13 First For i = 34
Block = 2 ; Thread = 23 First For i = 34
Block = 2 ; Thread = 14 First For i = 34
Block = 2 ; Thread = 15 First For i = 34
Block = 2 ; Thread = 24 First For i = 34
Block = 2 ; Thread = 16 First For i = 34
Block = 2 ; Thread = 25 First For i = 34
Block = 2 ; Thread = 26 First For i = 34
Block = 2 ; Thread = 27 First For i = 34
Block = 2 ; Thread = 28 First For i = 34
Block = 2 ; Thread = 29 First For i = 34
Block = 2 ; Thread = 30 First For i = 34
Block = 2 ; Thread = 31 First For i = 34
Block = 2 ; Thread = 32 First For i = 34
Block = 1 ; Thread = 1 First For i = 35
Block = 1 ; Thread = 17 First For i = 35
Block = 1 ; Thread = 2 First For i = 35
Block = 1 ; Thread = 3 First For i = 35
Block = 1 ; Thread = 18 First For i = 35
Block = 1 ; Thread = 4 First For i = 35
Block = 1 ; Thread = 5 First For i = 35
Block = 1 ; Thread = 19 First For i = 35
Block = 1 ; Thread = 6 First For i = 35
Block = 1 ; Thread = 7 First For i = 35
Block = 1 ; Thread = 20 First For i = 35
Block = 1 ; Thread = 8 First For i = 35
Block = 1 ; Thread = 9 First For i = 35
Block = 1 ; Thread = 21 First For i = 35
Block = 1 ; Thread = 10 First For i = 35
Block = 1 ; Thread = 11 First For i = 35
Block = 1 ; Thread = 22 First For i = 35
Block = 1 ; Thread = 12 First For i = 35
Block = 1 ; Thread = 13 First For i = 35
Block = 1 ; Thread = 23 First For i = 35
Block = 1 ; Thread = 14 First For i = 35
Block = 1 ; Thread = 15 First For i = 35
Block = 1 ; Thread = 24 First For i = 35
Block = 1 ; Thread = 16 First For i = 35
Block = 1 ; Thread = 25 First For i = 35
Block = 1 ; Thread = 26 First For i = 35
Block = 1 ; Thread = 27 First For i = 35
Block = 1 ; Thread = 28 First For i = 35
Block = 1 ; Thread = 29 First For i = 35
Block = 1 ; Thread = 30 First For i = 35
Block = 1 ; Thread = 31 First For i = 35
Block = 1 ; Thread = 32 First For i = 35
Block = 2 ; Thread = 1 First For i = 35
Block = 2 ; Thread = 17 First For i = 35
Block = 2 ; Thread = 2 First For i = 35
Block = 2 ; Thread = 3 First For i = 35
Block = 2 ; Thread = 18 First For i = 35
Block = 2 ; Thread = 4 First For i = 35
Block = 2 ; Thread = 5 First For i = 35
Block = 2 ; Thread = 19 First For i = 35
Block = 2 ; Thread = 6 First For i = 35
Block = 2 ; Thread = 7 First For i = 35
Block = 2 ; Thread = 20 First For i = 35
Block = 2 ; Thread = 8 First For i = 35
Block = 2 ; Thread = 9 First For i = 35
Block = 2 ; Thread = 21 First For i = 35
Block = 2 ; Thread = 10 First For i = 35
Block = 2 ; Thread = 11 First For i = 35
Block = 2 ; Thread = 22 First For i = 35
Block = 2 ; Thread = 12 First For i = 35
Block = 2 ; Thread = 13 First For i = 35
Block = 2 ; Thread = 23 First For i = 35
Block = 2 ; Thread = 14 First For i = 35
Block = 2 ; Thread = 15 First For i = 35
Block = 2 ; Thread = 24 First For i = 35
Block = 2 ; Thread = 16 First For i = 35
Block = 2 ; Thread = 25 First For i = 35
Block = 2 ; Thread = 26 First For i = 35
Block = 2 ; Thread = 27 First For i = 35
Block = 2 ; Thread = 28 First For i = 35
Block = 2 ; Thread = 29 First For i = 35
Block = 2 ; Thread = 30 First For i = 35
Block = 2 ; Thread = 31 First For i = 35
Block = 2 ; Thread = 32 First For i = 35
Block = 1 ; Thread = 1 First For i = 36
Block = 1 ; Thread = 17 First For i = 36
Block = 1 ; Thread = 2 First For i = 36
Block = 1 ; Thread = 3 First For i = 36
Block = 1 ; Thread = 18 First For i = 36
Block = 1 ; Thread = 4 First For i = 36
Block = 1 ; Thread = 5 First For i = 36
Block = 1 ; Thread = 19 First For i = 36
Block = 1 ; Thread = 6 First For i = 36
Block = 1 ; Thread = 7 First For i = 36
Block = 1 ; Thread = 20 First For i = 36
Block = 1 ; Thread = 8 First For i = 36
Block = 1 ; Thread = 9 First For i = 36
Block = 1 ; Thread = 21 First For i = 36
Block = 1 ; Thread = 10 First For i = 36
Block = 1 ; Thread = 11 First For i = 36
Block = 1 ; Thread = 22 First For i = 36
Block = 1 ; Thread = 12 First For i = 36
Block = 1 ; Thread = 13 First For i = 36
Block = 1 ; Thread = 23 First For i = 36
Block = 1 ; Thread = 14 First For i = 36
Block = 1 ; Thread = 15 First For i = 36
Block = 1 ; Thread = 24 First For i = 36
Block = 1 ; Thread = 16 First For i = 36
Block = 1 ; Thread = 25 First For i = 36
Block = 1 ; Thread = 26 First For i = 36
Block = 1 ; Thread = 27 First For i = 36
Block = 1 ; Thread = 28 First For i = 36
Block = 1 ; Thread = 29 First For i = 36
Block = 1 ; Thread = 30 First For i = 36
Block = 1 ; Thread = 31 First For i = 36
Block = 1 ; Thread = 32 First For i = 36
Block = 2 ; Thread = 1 First For i = 36
Block = 2 ; Thread = 17 First For i = 36
Block = 2 ; Thread = 2 First For i = 36
Block = 2 ; Thread = 3 First For i = 36
Block = 2 ; Thread = 18 First For i = 36
Block = 2 ; Thread = 4 First For i = 36
Block = 2 ; Thread = 5 First For i = 36
Block = 2 ; Thread = 19 First For i = 36
Block = 2 ; Thread = 6 First For i = 36
Block = 2 ; Thread = 7 First For i = 36
Block = 2 ; Thread = 20 First For i = 36
Block = 2 ; Thread = 8 First For i = 36
Block = 2 ; Thread = 9 First For i = 36
Block = 2 ; Thread = 21 First For i = 36
Block = 2 ; Thread = 10 First For i = 36
Block = 2 ; Thread = 11 First For i = 36
Block = 2 ; Thread = 22 First For i = 36
Block = 2 ; Thread = 12 First For i = 36
Block = 2 ; Thread = 13 First For i = 36
Block = 2 ; Thread = 23 First For i = 36
Block = 2 ; Thread = 14 First For i = 36
Block = 2 ; Thread = 15 First For i = 36
Block = 2 ; Thread = 24 First For i = 36
Block = 2 ; Thread = 16 First For i = 36
Block = 2 ; Thread = 25 First For i = 36
Block = 2 ; Thread = 26 First For i = 36
Block = 2 ; Thread = 27 First For i = 36
Block = 2 ; Thread = 28 First For i = 36
Block = 2 ; Thread = 29 First For i = 36
Block = 2 ; Thread = 30 First For i = 36
Block = 2 ; Thread = 31 First For i = 36
Block = 2 ; Thread = 32 First For i = 36
Block = 1 ; Thread = 1 First For i = 37
Block = 1 ; Thread = 17 First For i = 37
Block = 1 ; Thread = 2 First For i = 37
Block = 1 ; Thread = 3 First For i = 37
Block = 1 ; Thread = 18 First For i = 37
Block = 1 ; Thread = 4 First For i = 37
Block = 1 ; Thread = 5 First For i = 37
Block = 1 ; Thread = 19 First For i = 37
Block = 1 ; Thread = 6 First For i = 37
Block = 1 ; Thread = 7 First For i = 37
Block = 1 ; Thread = 20 First For i = 37
Block = 1 ; Thread = 8 First For i = 37
Block = 1 ; Thread = 9 First For i = 37
Block = 1 ; Thread = 21 First For i = 37
Block = 1 ; Thread = 10 First For i = 37
Block = 1 ; Thread = 11 First For i = 37
Block = 1 ; Thread = 22 First For i = 37
Block = 1 ; Thread = 12 First For i = 37
Block = 1 ; Thread = 13 First For i = 37
Block = 1 ; Thread = 23 First For i = 37
Block = 1 ; Thread = 14 First For i = 37
Block = 1 ; Thread = 15 First For i = 37
Block = 1 ; Thread = 24 First For i = 37
Block = 1 ; Thread = 16 First For i = 37
Block = 1 ; Thread = 25 First For i = 37
Block = 1 ; Thread = 26 First For i = 37
Block = 1 ; Thread = 27 First For i = 37
Block = 1 ; Thread = 28 First For i = 37
Block = 1 ; Thread = 29 First For i = 37
Block = 1 ; Thread = 30 First For i = 37
Block = 1 ; Thread = 31 First For i = 37
Block = 1 ; Thread = 32 First For i = 37
Block = 2 ; Thread = 1 First For i = 37
Block = 2 ; Thread = 17 First For i = 37
Block = 2 ; Thread = 2 First For i = 37
Block = 2 ; Thread = 3 First For i = 37
Block = 2 ; Thread = 18 First For i = 37
Block = 2 ; Thread = 4 First For i = 37
Block = 2 ; Thread = 5 First For i = 37
Block = 2 ; Thread = 19 First For i = 37
Block = 2 ; Thread = 6 First For i = 37
Block = 2 ; Thread = 7 First For i = 37
Block = 2 ; Thread = 20 First For i = 37
Block = 2 ; Thread = 8 First For i = 37
Block = 2 ; Thread = 9 First For i = 37
Block = 2 ; Thread = 21 First For i = 37
Block = 2 ; Thread = 10 First For i = 37
Block = 2 ; Thread = 11 First For i = 37
Block = 2 ; Thread = 22 First For i = 37
Block = 2 ; Thread = 12 First For i = 37
Block = 2 ; Thread = 13 First For i = 37
Block = 2 ; Thread = 23 First For i = 37
Block = 2 ; Thread = 14 First For i = 37
Block = 2 ; Thread = 15 First For i = 37
Block = 2 ; Thread = 24 First For i = 37
Block = 2 ; Thread = 16 First For i = 37
Block = 2 ; Thread = 25 First For i = 37
Block = 2 ; Thread = 26 First For i = 37
Block = 2 ; Thread = 27 First For i = 37
Block = 2 ; Thread = 28 First For i = 37
Block = 2 ; Thread = 29 First For i = 37
Block = 2 ; Thread = 30 First For i = 37
Block = 2 ; Thread = 31 First For i = 37
Block = 2 ; Thread = 32 First For i = 37
Block = 1 ; Thread = 1 First For i = 38
Block = 1 ; Thread = 17 First For i = 38
Block = 1 ; Thread = 2 First For i = 38
Block = 1 ; Thread = 3 First For i = 38
Block = 1 ; Thread = 18 First For i = 38
Block = 1 ; Thread = 4 First For i = 38
Block = 1 ; Thread = 5 First For i = 38
Block = 1 ; Thread = 19 First For i = 38
Block = 1 ; Thread = 6 First For i = 38
Block = 1 ; Thread = 7 First For i = 38
Block = 1 ; Thread = 20 First For i = 38
Block = 1 ; Thread = 8 First For i = 38
Block = 1 ; Thread = 9 First For i = 38
Block = 1 ; Thread = 21 First For i = 38
Block = 1 ; Thread = 10 First For i = 38
Block = 1 ; Thread = 11 First For i = 38
Block = 1 ; Thread = 22 First For i = 38
Block = 1 ; Thread = 12 First For i = 38
Block = 1 ; Thread = 13 First For i = 38
Block = 1 ; Thread = 23 First For i = 38
Block = 1 ; Thread = 14 First For i = 38
Block = 1 ; Thread = 15 First For i = 38
Block = 1 ; Thread = 24 First For i = 38
Block = 1 ; Thread = 16 First For i = 38
Block = 1 ; Thread = 25 First For i = 38
Block = 1 ; Thread = 26 First For i = 38
Block = 1 ; Thread = 27 First For i = 38
Block = 1 ; Thread = 28 First For i = 38
Block = 1 ; Thread = 29 First For i = 38
Block = 1 ; Thread = 30 First For i = 38
Block = 1 ; Thread = 31 First For i = 38
Block = 1 ; Thread = 32 First For i = 38
Block = 2 ; Thread = 1 First For i = 38
Block = 2 ; Thread = 17 First For i = 38
Block = 2 ; Thread = 2 First For i = 38
Block = 2 ; Thread = 3 First For i = 38
Block = 2 ; Thread = 18 First For i = 38
Block = 2 ; Thread = 4 First For i = 38
Block = 2 ; Thread = 5 First For i = 38
Block = 2 ; Thread = 19 First For i = 38
Block = 2 ; Thread = 6 First For i = 38
Block = 2 ; Thread = 7 First For i = 38
Block = 2 ; Thread = 20 First For i = 38
Block = 2 ; Thread = 8 First For i = 38
Block = 2 ; Thread = 9 First For i = 38
Block = 2 ; Thread = 21 First For i = 38
Block = 2 ; Thread = 10 First For i = 38
Block = 2 ; Thread = 11 First For i = 38
Block = 2 ; Thread = 22 First For i = 38
Block = 2 ; Thread = 12 First For i = 38
Block = 2 ; Thread = 13 First For i = 38
Block = 2 ; Thread = 23 First For i = 38
Block = 2 ; Thread = 14 First For i = 38
Block = 2 ; Thread = 15 First For i = 38
Block = 2 ; Thread = 24 First For i = 38
Block = 2 ; Thread = 16 First For i = 38
Block = 2 ; Thread = 25 First For i = 38
Block = 2 ; Thread = 26 First For i = 38
Block = 2 ; Thread = 27 First For i = 38
Block = 2 ; Thread = 28 First For i = 38
Block = 2 ; Thread = 29 First For i = 38
Block = 2 ; Thread = 30 First For i = 38
Block = 2 ; Thread = 31 First For i = 38
Block = 2 ; Thread = 32 First For i = 38
Block = 1 ; Thread = 1 First For i = 39
Block = 1 ; Thread = 17 First For i = 39
Block = 1 ; Thread = 2 First For i = 39
Block = 1 ; Thread = 3 First For i = 39
Block = 1 ; Thread = 18 First For i = 39
Block = 1 ; Thread = 4 First For i = 39
Block = 1 ; Thread = 5 First For i = 39
Block = 1 ; Thread = 19 First For i = 39
Block = 1 ; Thread = 6 First For i = 39
Block = 1 ; Thread = 7 First For i = 39
Block = 1 ; Thread = 20 First For i = 39
Block = 1 ; Thread = 8 First For i = 39
Block = 1 ; Thread = 9 First For i = 39
Block = 1 ; Thread = 21 First For i = 39
Block = 1 ; Thread = 10 First For i = 39
Block = 1 ; Thread = 11 First For i = 39
Block = 1 ; Thread = 22 First For i = 39
Block = 1 ; Thread = 12 First For i = 39
Block = 1 ; Thread = 13 First For i = 39
Block = 1 ; Thread = 23 First For i = 39
Block = 1 ; Thread = 14 First For i = 39
Block = 1 ; Thread = 15 First For i = 39
Block = 1 ; Thread = 24 First For i = 39
Block = 1 ; Thread = 16 First For i = 39
Block = 1 ; Thread = 25 First For i = 39
Block = 1 ; Thread = 26 First For i = 39
Block = 1 ; Thread = 27 First For i = 39
Block = 1 ; Thread = 28 First For i = 39
Block = 1 ; Thread = 29 First For i = 39
Block = 1 ; Thread = 30 First For i = 39
Block = 1 ; Thread = 31 First For i = 39
Block = 1 ; Thread = 32 First For i = 39
Block = 2 ; Thread = 1 First For i = 39
Block = 2 ; Thread = 17 First For i = 39
Block = 2 ; Thread = 2 First For i = 39
Block = 2 ; Thread = 3 First For i = 39
Block = 2 ; Thread = 18 First For i = 39
Block = 2 ; Thread = 4 First For i = 39
Block = 2 ; Thread = 5 First For i = 39
Block = 2 ; Thread = 19 First For i = 39
Block = 2 ; Thread = 6 First For i = 39
Block = 2 ; Thread = 7 First For i = 39
Block = 2 ; Thread = 20 First For i = 39
Block = 2 ; Thread = 8 First For i = 39
Block = 2 ; Thread = 9 First For i = 39
Block = 2 ; Thread = 21 First For i = 39
Block = 2 ; Thread = 10 First For i = 39
Block = 2 ; Thread = 11 First For i = 39
Block = 2 ; Thread = 22 First For i = 39
Block = 2 ; Thread = 12 First For i = 39
Block = 2 ; Thread = 13 First For i = 39
Block = 2 ; Thread = 23 First For i = 39
Block = 2 ; Thread = 14 First For i = 39
Block = 2 ; Thread = 15 First For i = 39
Block = 2 ; Thread = 24 First For i = 39
Block = 2 ; Thread = 16 First For i = 39
Block = 2 ; Thread = 25 First For i = 39
Block = 2 ; Thread = 26 First For i = 39
Block = 2 ; Thread = 27 First For i = 39
Block = 2 ; Thread = 28 First For i = 39
Block = 2 ; Thread = 29 First For i = 39
Block = 2 ; Thread = 30 First For i = 39
Block = 2 ; Thread = 31 First For i = 39
Block = 2 ; Thread = 32 First For i = 39
Block = 1 ; Thread = 1 First For i = 40
Block = 1 ; Thread = 17 First For i = 40
Block = 1 ; Thread = 2 First For i = 40
Block = 1 ; Thread = 3 First For i = 40
Block = 1 ; Thread = 18 First For i = 40
Block = 1 ; Thread = 4 First For i = 40
Block = 1 ; Thread = 5 First For i = 40
Block = 1 ; Thread = 19 First For i = 40
Block = 1 ; Thread = 6 First For i = 40
Block = 1 ; Thread = 7 First For i = 40
Block = 1 ; Thread = 20 First For i = 40
Block = 1 ; Thread = 8 First For i = 40
Block = 1 ; Thread = 9 First For i = 40
Block = 1 ; Thread = 21 First For i = 40
Block = 1 ; Thread = 10 First For i = 40
Block = 1 ; Thread = 11 First For i = 40
Block = 1 ; Thread = 22 First For i = 40
Block = 1 ; Thread = 12 First For i = 40
Block = 1 ; Thread = 13 First For i = 40
Block = 1 ; Thread = 23 First For i = 40
Block = 1 ; Thread = 14 First For i = 40
Block = 1 ; Thread = 15 First For i = 40
Block = 1 ; Thread = 24 First For i = 40
Block = 1 ; Thread = 16 First For i = 40
Block = 1 ; Thread = 25 First For i = 40
Block = 1 ; Thread = 26 First For i = 40
Block = 1 ; Thread = 27 First For i = 40
Block = 1 ; Thread = 28 First For i = 40
Block = 1 ; Thread = 29 First For i = 40
Block = 1 ; Thread = 30 First For i = 40
Block = 1 ; Thread = 31 First For i = 40
Block = 1 ; Thread = 32 First For i = 40
Block = 2 ; Thread = 1 First For i = 40
Block = 2 ; Thread = 17 First For i = 40
Block = 2 ; Thread = 2 First For i = 40
Block = 2 ; Thread = 3 First For i = 40
Block = 2 ; Thread = 18 First For i = 40
Block = 2 ; Thread = 4 First For i = 40
Block = 2 ; Thread = 5 First For i = 40
Block = 2 ; Thread = 19 First For i = 40
Block = 2 ; Thread = 6 First For i = 40
Block = 2 ; Thread = 7 First For i = 40
Block = 2 ; Thread = 20 First For i = 40
Block = 2 ; Thread = 8 First For i = 40
Block = 2 ; Thread = 9 First For i = 40
Block = 2 ; Thread = 21 First For i = 40
Block = 2 ; Thread = 10 First For i = 40
Block = 2 ; Thread = 11 First For i = 40
Block = 2 ; Thread = 22 First For i = 40
Block = 2 ; Thread = 12 First For i = 40
Block = 2 ; Thread = 13 First For i = 40
Block = 2 ; Thread = 23 First For i = 40
Block = 2 ; Thread = 14 First For i = 40
Block = 2 ; Thread = 15 First For i = 40
Block = 2 ; Thread = 24 First For i = 40
Block = 2 ; Thread = 16 First For i = 40
Block = 2 ; Thread = 25 First For i = 40
Block = 2 ; Thread = 26 First For i = 40
Block = 2 ; Thread = 27 First For i = 40
Block = 2 ; Thread = 28 First For i = 40
Block = 2 ; Thread = 29 First For i = 40
Block = 2 ; Thread = 30 First For i = 40
Block = 2 ; Thread = 31 First For i = 40
Block = 2 ; Thread = 32 First For i = 40
Block = 1 ; Thread = 1 First For i = 41
Block = 1 ; Thread = 17 First For i = 41
Block = 1 ; Thread = 2 First For i = 41
Block = 1 ; Thread = 3 First For i = 41
Block = 1 ; Thread = 18 First For i = 41
Block = 1 ; Thread = 4 First For i = 41
Block = 1 ; Thread = 5 First For i = 41
Block = 1 ; Thread = 19 First For i = 41
Block = 1 ; Thread = 6 First For i = 41
Block = 1 ; Thread = 7 First For i = 41
Block = 1 ; Thread = 20 First For i = 41
Block = 1 ; Thread = 8 First For i = 41
Block = 1 ; Thread = 9 First For i = 41
Block = 1 ; Thread = 21 First For i = 41
Block = 1 ; Thread = 10 First For i = 41
Block = 1 ; Thread = 11 First For i = 41
Block = 1 ; Thread = 22 First For i = 41
Block = 1 ; Thread = 12 First For i = 41
Block = 1 ; Thread = 13 First For i = 41
Block = 1 ; Thread = 23 First For i = 41
Block = 1 ; Thread = 14 First For i = 41
Block = 1 ; Thread = 15 First For i = 41
Block = 1 ; Thread = 24 First For i = 41
Block = 1 ; Thread = 16 First For i = 41
Block = 1 ; Thread = 25 First For i = 41
Block = 1 ; Thread = 26 First For i = 41
Block = 1 ; Thread = 27 First For i = 41
Block = 1 ; Thread = 28 First For i = 41
Block = 1 ; Thread = 29 First For i = 41
Block = 1 ; Thread = 30 First For i = 41
Block = 1 ; Thread = 31 First For i = 41
Block = 1 ; Thread = 32 First For i = 41
Block = 2 ; Thread = 1 First For i = 41
Block = 2 ; Thread = 17 First For i = 41
Block = 2 ; Thread = 2 First For i = 41
Block = 2 ; Thread = 3 First For i = 41
Block = 2 ; Thread = 18 First For i = 41
Block = 2 ; Thread = 4 First For i = 41
Block = 2 ; Thread = 5 First For i = 41
Block = 2 ; Thread = 19 First For i = 41
Block = 2 ; Thread = 6 First For i = 41
Block = 2 ; Thread = 7 First For i = 41
Block = 2 ; Thread = 20 First For i = 41
Block = 2 ; Thread = 8 First For i = 41
